#Hinchliff CE, Roalson EH (2012) Data from: Using supermatrices for phylogenetic inquiry: an example using the sedges. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.6p76c3pb
#http://datadryad.org/bitstream/handle/10255/dryad.38186/cyp_states.csv

name,tropical
Carex_cherokeensis,0
Carex_chiapensis,1
Carex_chichijimensis,0
Carex_chihuahuensis,0
Carex_chikungana,0
Carex_chillanensis,0
Carex_chinensis,0
Carex_chinoi,0
Carex_chiovendae,0
Carex_chiwuana,0
Carex_chlorantha,0
Carex_chlorocephalula,0
Carex_chloroleuca,0
Carex_chlorosaccus,1
Carex_chorda,0
Carex_chordorrhiza,0
Carex_chosenica,0
Carex_chrysolepis,0
Carex_chuiana,0
Carex_chuii,0
Carex_chungii,0
Carex_cilicica,0
Carex_cinerascens,0
Carex_circinnata,0
Carex_cirrhosa,0
Carex_cirrhulosa,1
Carex_clavata,0
Carex_clivorum,0
Carex_cochinchinensis,1
Carex_cochranei,1
Carex_cockayniana,0
Carex_cognata,1
Carex_colchica,0
Carex_colensoi,0
Carex_collifera,0
Carex_collimitanea,0
Carex_collinsii,0
Carex_collumanthus,1
Carex_comans,0
Carex_commixta,1
Carex_communis,0
Carex_comosa,0
Carex_complanata,0
Carex_composita,1
Carex_concinna,0
Carex_concinnoides,0
Carex_condensata,1
Carex_conferta,1
Carex_confertospicata,1
Carex_congdonii,0
Carex_congestiflora,1
Carex_conica,0
Carex_conjuncta,0
Carex_conoidea,0
Carex_conoides,0
Carex_conspecta,1
Carex_conspissata,0
Carex_constanceana,0
Carex_continua,1
Carex_contracta,0
Carex_cordillerana,0
Carex_cordouei,0
Carex_coriogyne,0
Carex_corrugata,0
Carex_cortesii,1
Carex_coulteri,0
Carex_coxiana,0
Carex_cranaocarpa,0
Carex_crassibasis,0
Carex_crassiflora,0
Carex_crawei,0
Carex_crawfordii,0
Carex_crebra,0
Carex_crebriflora,0
Carex_cremnicola,0
Carex_cretica,0
Carex_crinita,0
Carex_cristatella,0
